model,horizon_hours,early_event_recall,false_alarms_per_day,lead_time_median_hours
robust_z,6,3/4,1.4165487747752898,6.0
robust_z,12,4/4,1.4188848805402552,10.291666666666668
robust_z,24,4/4,1.4349803103123913,11.208333333333334
robust_z,48,4/4,1.433470936458711,42.208333333333336
pca,6,0/4,0.5967351137832914,
pca,12,1/4,0.594473507261925,12.0
pca,24,1/4,0.6012170470083537,13.25
pca,48,2/4,0.597763184029341,40.08333333333333
isolation_forest,6,2/4,0.8142366973117807,6.0
isolation_forest,12,2/4,0.8188031326437836,12.0
isolation_forest,24,4/4,0.8110758275678733,24.0
isolation_forest,48,4/4,0.8066901221366836,41.333333333333336
tcn_autoencoder,6,2/4,1.2492398643687594,4.083333333333333
tcn_autoencoder,12,3/4,1.2506376615038612,8.083333333333334
tcn_autoencoder,24,3/4,1.259152683357118,15.583333333333334
tcn_autoencoder,48,4/4,1.2419545765269804,40.125
