sensor,mean_absolute_shap,normalized_contribution
oil_temperature,0.06627652928795476,0.14786256006027754
tp2,0.05029784729239185,0.11221421136676216
motor_current,0.041438156807601115,0.09244829226241152
h1,0.03970316885773048,0.08857754400963257
tp3,0.0319491739996749,0.07127842556266376
dv_electric,0.030224659399834215,0.06743104329426076
reservoirs,0.029821647615410923,0.0665319262943288
dv_pressure,0.029541288985404646,0.06590644778461972
comp,0.029241599684737024,0.06523784265855977
mpg,0.02905407002340006,0.06481946505022053
towers,0.027713495173492662,0.06182865018122655
TP2 - TP3,0.018778024991419832,0.04189366700304609
pressure_switch,0.012122840698683239,0.02704598868058112
TP3 - Reservoirs,0.012068132854584059,0.02692393579140918
lps,0.0,0.0
caudal_impulses,0.0,0.0
oil_level,0.0,0.0
